,symbol,momentum_ratio,time_frame,atr_length,wait_time,tp_deviation,sl_deviation,order_deviation,risk_reward,fifty,ma,counts,balance,strategy,profit,loss,win_rate,draw_down,score
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,644.0204000000024,mbm,628.92,-416.46,0.5,812.01,1.97
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,12,2248.174300000001,bbm,3536.2,-1388.02,0.75,776.68,2.26
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,30,3,-158.0341999999711,v_ptr,693.43,-951.46,0.33,491.26,1.8
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,4,329.76580000002883,v_ptr,1181.23,-951.46,0.5,491.26,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,80,11,1632.8791000000035,bbm,2920.9,-1388.02,0.73,776.68,2.23
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,120,1,-316.4648000000079,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,120,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,120,4,329.76580000002883,v_ptr,1181.23,-951.46,0.5,491.26,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,1,0,120,11,1632.8791000000035,bbm,2920.9,-1388.02,0.73,776.68,2.23
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,30,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,30,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,30,3,-391.92044999997495,v_ptr,460.35,-952.27,0.33,491.92,1.79
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,30,12,1801.8197999999752,bbm,3512.01,-1810.19,0.5,1199.35,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,80,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,80,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,80,3,-656.5867400000106,v_ptr,1440.75,-1099.0,0.5,1099.0,1.92
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,80,11,1393.26299999998,bbm,3103.45,-1810.19,0.45,1199.35,1.92
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,120,1,-316.464800000008,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,120,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,120,4,588.4795500000251,v_ptr,1440.75,-952.27,0.5,491.66,1.98
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,3,0,120,11,1393.26299999998,bbm,3103.45,-1810.19,0.45,1199.35,1.92
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,30,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,30,3,-970.9894999999852,v_ptr,0.0,-1070.99,0.0,1070.99,1.42
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,30,11,-661.3279100000417,bbm,1616.85,-2378.18,0.27,1611.56,1.67
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,30,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,80,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,80,4,-729.489499999985,v_ptr,241.5,-1070.99,0.25,829.49,1.68
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,80,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,80,10,-553.0387100000406,bbm,1616.85,-2269.89,0.3,1611.56,1.7
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,120,1,-316.46480000000804,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,120,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,120,4,-729.489499999985,v_ptr,241.5,-1070.99,0.25,829.49,1.68
0,BITCOIN,0.6,30,30,50,0.0,0.0,0.0,6,0,120,10,-553.0387100000406,bbm,1616.85,-2269.89,0.3,1611.56,1.7
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,30,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,30,2,128.1248000000097,color,840.13,-812.01,0.5,812.01,1.96
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,30,2,302.16960000002297,v_ptr,693.43,-491.26,0.5,491.26,1.98
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,30,12,2021.6563000000049,bbm,3309.68,-1388.02,0.75,776.68,2.26
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,80,2,128.1248000000097,color,840.13,-812.01,0.5,812.01,1.96
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,80,2,128.1248000000097,v_ptr,1181.23,-812.01,0.67,812.01,2.13
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,80,11,1406.3611000000064,bbm,2694.38,-1388.02,0.73,776.68,2.22
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,120,1,-316.4648000000079,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,120,2,128.1248000000097,color,840.13,-812.01,0.5,812.01,1.96
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,120,3,789.9696000000229,v_ptr,1181.23,-491.26,0.67,491.26,2.16
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,1,0,120,11,1406.3611000000064,bbm,2694.38,-1388.02,0.73,776.68,2.22
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,30,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,30,2,68.69061000001909,v_ptr,460.35,-491.66,0.5,491.66,1.97
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,30,2,-998.997140000006,color,0.0,-1099.0,0.0,1099.0,1.41
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,30,12,1033.0037999999818,bbm,2743.19,-1810.19,0.5,1046.02,1.97
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,80,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,80,2,-998.997140000006,color,0.0,-1099.0,0.0,1099.0,1.41
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,80,3,1049.0906100000193,v_ptr,1440.75,-491.66,0.67,491.66,2.17
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,80,11,624.4469999999866,bbm,2334.63,-1810.19,0.45,1046.02,1.91
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,120,1,-316.464800000008,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,120,2,-998.997140000006,color,0.0,-1099.0,0.0,1099.0,1.41
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,120,3,1049.0906100000193,v_ptr,1440.75,-491.66,0.67,491.66,2.17
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,3,0,120,11,624.4469999999866,bbm,2334.63,-1810.19,0.45,1046.02,1.91
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,30,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,30,2,-511.6002199999911,v_ptr,0.0,-611.6,0.0,611.6,1.45
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,30,2,-1277.29340000001,color,0.0,-1377.29,0.0,1377.29,1.39
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,30,12,-705.3604100000417,bbm,1616.85,-2422.22,0.25,1655.6,1.64
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,80,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,80,2,-1277.29340000001,color,0.0,-1377.29,0.0,1377.29,1.39
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,80,11,-597.0712100000407,bbm,1616.85,-2313.93,0.27,1655.6,1.67
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,120,1,-316.46480000000804,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,120,2,-1277.29340000001,color,0.0,-1377.29,0.0,1377.29,1.39
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,120,3,-270.100219999991,v_ptr,241.5,-611.6,0.33,490.45,1.79
0,BITCOIN,0.6,30,30,90,0.0,0.0,0.0,6,0,120,11,-597.0712100000407,bbm,1616.85,-2313.93,0.27,1655.6,1.67
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,30,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,30,5,-335.8239999999832,v_ptr,1191.78,-1627.6,0.4,1167.4,1.83
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,30,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,30,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,80,2,312.4587999999917,mbm,628.92,-416.46,0.5,416.46,1.98
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,80,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,80,6,151.97600000001677,v_ptr,1679.58,-1627.6,0.5,679.6,1.96
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,80,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,120,1,-316.4648000000079,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,120,6,151.97600000001677,v_ptr,1679.58,-1627.6,0.5,679.6,1.96
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,120,3,644.0204000000024,color,1356.03,-812.01,0.67,812.01,2.14
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,1,0,120,9,1562.9299000000135,bbm,2698.03,-1235.1,0.78,623.76,2.28
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,30,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,30,5,-67.3821299999936,v_ptr,1461.61,-1628.99,0.4,1168.64,1.83
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,30,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,30,3,-67.3821299999936,color,342.41,-1099.0,0.33,1168.64,1.76
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,80,2,946.3023999999882,mbm,1262.77,-416.46,0.5,416.46,2.0
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,80,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,80,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,80,6,913.0178700000068,v_ptr,2442.01,-1628.99,0.5,676.98,1.98
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,120,1,-316.464800000008,mbm,0.0,-416.46,0.0,416.46,1.47
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,120,3,-656.5867400000106,color,342.41,-1099.0,0.33,1099.0,1.75
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,120,6,913.0178700000068,v_ptr,2442.01,-1628.99,0.5,676.98,1.98
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,3,0,120,9,1626.373869999998,bbm,3103.45,-1577.08,0.56,966.24,2.05
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,30,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,30,5,-1399.0690399999935,color,246.9,-1745.96,0.0,1745.96,1.37
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,30,5,-1399.0690399999935,v_ptr,246.9,-1745.96,0.2,1745.96,1.57
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,30,8,-243.79459000002072,bbm,1616.85,-1960.65,0.38,1302.32,1.8
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,80,2,1897.0677999999907,mbm,2213.53,-416.46,0.5,416.46,2.02
0,BITCOIN,0.6,30,80,30,0.0,0.0,0.0,6,0,80,3,-1368.5960000000089,color,0.0,-1468.6,0.0,1468.6,1.39
